NUTS,SOUCET_HLASU,ZAPSANI_VOLICI,Strana zelených_votes,Švýcarská demokracie_votes,VOLNÝ blok_votes,Svoboda a př. demokracie (SPD)_votes,Česká str.sociálně demokrat._votes,Volte Pr.Blok www.cibulka.net_votes,ALIANCE NÁRODNÍCH SIL_votes,Trikolora Svobodní Soukromníci_votes,Aliance pro budoucnost_votes,Hnutí Prameny_votes,Levice_votes,PŘÍSAHA Roberta Šlachty_votes,"SPOLU – ODS, KDU-ČSL, TOP 09_votes",SENIOŘI 21_votes,Urza.cz: Nechceme vaše hlasy_votes,Koruna Česká (monarch.strana)_votes,PIRÁTI a STAROSTOVÉ_votes,Komunistická str.Čech a Moravy_votes,Moravské zemské hnutí_votes,ANO 2011_votes,Otevřeme ČR normálnímu životu_votes,Moravané_votes,Strana zelených_perc,Švýcarská demokracie_perc,VOLNÝ blok_perc,Svoboda a př. demokracie (SPD)_perc,Česká str.sociálně demokrat._perc,Volte Pr.Blok www.cibulka.net_perc,ALIANCE NÁRODNÍCH SIL_perc,Trikolora Svobodní Soukromníci_perc,Aliance pro budoucnost_perc,Hnutí Prameny_perc,Levice_perc,PŘÍSAHA Roberta Šlachty_perc,"SPOLU – ODS, KDU-ČSL, TOP 09_perc",SENIOŘI 21_perc,Urza.cz: Nechceme vaše hlasy_perc,Koruna Česká (monarch.strana)_perc,PIRÁTI a STAROSTOVÉ_perc,Komunistická str.Čech a Moravy_perc,Moravské zemské hnutí_perc,ANO 2011_perc,Otevřeme ČR normálnímu životu_perc,Moravané_perc
CZ0201,510,693,4,1,1,22,27,0,0,7,1,0,0,18,159,1,1,1,108,21,0,136,2,0,6.163,4.762,4.762,46.792,46.474999999999994,0,0.0,14.498000000000001,2.174,0.0,0,47.573,299.978,2.174,2.703,0.82,221.761,48.669,0.0,245.115,5.582,0.0
CZ0202,282,419,2,2,4,35,30,0,1,6,1,1,0,14,71,0,0,0,45,5,0,64,1,0,1.25,3.434,3.958,34.245000000000005,31.836,0,0.625,8.125,0.625,0.625,0,11.667,78.576,0.0,0.0,0.0,59.454,3.851,0.0,61.103,0.625,0.0
CZ0203,188,252,2,1,5,21,8,0,1,1,1,1,0,8,55,0,0,0,41,3,0,40,0,0,1.325,0.662,3.311,26.15,11.419,0,0.662,0.662,0.662,0.662,0,5.298,54.788,0.0,0.0,0.0,43.476,1.987,0.0,48.935,0.0,0.0
CZ0204,1067,1485,9,0,13,113,61,0,1,28,3,2,0,55,196,2,0,3,223,44,0,307,7,0,9.335,0.0,13.435,116.806,76.28,0,0.671,32.123,3.493,2.465,0,58.336999999999996,215.715,3.592,0.0,2.992,241.103,49.56,0.0,363.536,10.551,0.0
CZ0205,280,360,1,2,0,34,19,0,0,7,2,1,0,9,60,0,0,3,56,12,0,74,0,0,1.667,5.552,0.0,71.129,43.464,0,0.0,14.174,5.448,1.852,0,18.683,140.364,0.0,0.0,7.115,111.388,24.252,0.0,154.914,0.0,0.0
CZ0206,227,361,1,5,0,35,6,0,0,8,2,1,0,11,46,0,2,0,20,11,0,79,0,0,1.961,5.735,0.0,45.962,7.116,0,0.0,10.505,3.922,1.429,0,15.417,61.724000000000004,0.0,2.372,0.0,30.45,12.803,0.0,100.604,0.0,0.0
CZ0207,883,1254,15,5,5,120,48,0,2,19,3,2,0,43,232,2,5,1,157,33,0,182,9,0,15.575,3.17,5.297000000000001,137.811,49.983999999999995,0,2.7110000000000003,24.816,0.815,0.543,0,39.622,269.779,3.5620000000000003,10.437999999999999,1.786,184.205,41.96,0.0,201.406,6.521,0.0
CZ0208,690,996,9,1,14,74,39,0,0,19,1,1,0,31,146,1,1,1,94,17,0,237,4,0,11.635,1.053,15.693000000000001,79.818,46.398,0,0.0,24.466,1.37,1.37,0,36.558,161.794,3.333,1.053,0.483,116.672,35.647,0.0,255.512,7.142,0.0
CZ0209,485,702,4,0,2,51,21,0,0,9,1,0,0,35,131,0,0,0,83,13,0,129,6,0,1.747,0.0,3.279,56.638000000000005,22.115000000000002,0,0.0,11.625,2.174,0.0,0,32.162,111.589,0.0,0.0,0.0,88.295,22.320999999999998,0.0,141.277,6.778,0.0
CZ020B,807,1106,15,6,5,72,36,0,1,6,2,0,0,49,162,3,0,0,127,48,0,261,14,0,15.63,8.041,5.691,88.102,44.112,0,1.351,7.701,3.5170000000000003,0.0,0,58.491,211.25900000000001,4.092,0.0,0.0,161.675,64.298,0.0,311.19,14.85,0.0
CZ020C,321,524,1,3,1,25,23,0,1,14,0,0,0,12,48,0,1,2,47,23,0,118,2,0,2.857,5.41,2.857,52.976,43.173,0,2.632,32.704,0.0,0.0,0,26.056,102.78,0.0,2.632,5.071,106.803,53.203,0.0,257.34,3.509,0.0
CZ0311,886,1257,5,2,9,72,52,0,1,43,0,0,0,52,241,0,1,1,91,67,0,244,5,0,9.785,3.454,21.481,155.684,110.414,0,1.099,80.726,0.0,0.0,0,87.30799999999999,461.771,0.0,1.099,1.099,162.207,120.179,0.0,467.053,16.636000000000003,0.0
CZ0312,50,77,1,0,2,9,0,0,0,3,0,0,0,0,22,0,0,0,0,0,0,13,0,0,2.0,0.0,4.0,18.0,0.0,0,0.0,6.0,0.0,0.0,0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0
CZ0313,1053,1460,12,1,7,100,47,0,1,44,2,0,0,52,291,0,0,2,115,57,0,314,3,5,17.261,1.136,7.808,131.227,58.577,0,0.787,55.659,4.381,0.0,0,82.714,448.71000000000004,0.0,0.0,3.8169999999999997,158.675,83.945,0.0,431.118,4.054,10.126999999999999
CZ0314,789,1147,7,2,11,83,63,0,0,23,3,1,0,41,240,0,1,0,92,32,0,185,5,0,11.645,3.09,17.906,139.615,100.90599999999999,0,0.0,41.919000000000004,4.6690000000000005,1.852,0,61.027,374.869,0.0,0.526,0.0,153.74,63.355000000000004,0.0,317.46,7.418,0.0
CZ0315,436,597,10,1,4,43,20,0,1,15,1,1,0,23,123,0,0,3,55,23,0,110,2,1,18.01,1.316,4.68,72.182,36.394000000000005,0,2.778,26.822,1.031,1.316,0,42.296,241.071,0.0,0.0,4.441,95.404,45.629000000000005,0.0,201.344,3.9719999999999995,1.316
CZ0316,2035,3021,21,7,10,223,107,0,3,60,9,2,0,68,613,0,3,1,208,100,0,591,9,0,38.011,17.629,9.254,323.642,187.578,0,5.263,106.574,14.256,4.257,0,94.832,957.971,0.0,5.489,2.174,327.318,156.84199999999998,0.0,936.881,12.032,0.0
CZ0317,733,1049,7,1,3,65,46,0,1,15,1,0,0,37,192,0,0,1,82,30,0,250,1,1,11.095,2.083,4.2620000000000005,97.063,68.837,0,1.163,21.545,1.887,0.0,0,52.822,301.823,0.0,0.0,2.083,123.50800000000001,40.076,0.0,369.282,1.205,1.266
CZ0321,1387,2137,9,5,22,162,105,0,0,30,6,6,0,53,351,3,4,0,146,45,0,429,11,0,12.934000000000001,8.789000000000001,34.775,257.386,188.913,0,0.0,49.257,18.556,14.054,0,81.166,510.55899999999997,4.41,4.449,0.0,228.792,63.339,0.0,705.884,16.739,0.0
CZ0322,1388,1996,15,6,18,154,53,0,0,43,2,1,0,63,270,4,1,5,157,83,0,509,4,0,28.544,11.389,43.311,280.361,104.321,0,0.0,80.8,3.037,4.167,0,110.103,516.455,7.401,1.887,8.376999999999999,297.325,143.727,0.0,952.264,6.538,0.0
CZ0323,640,1240,8,0,6,56,39,0,0,16,0,4,0,26,184,3,0,1,128,19,0,148,2,0,8.959,0.0,5.0,48.598,23.148,0,0.0,15.876999999999999,0.0,2.597,0,24.787,144.21,3.521,0.0,0.885,103.72800000000001,8.584,0.0,108.818,1.2850000000000001,0.0
CZ0324,1048,1532,15,1,18,110,71,0,1,22,8,1,0,67,228,6,0,1,117,52,0,325,5,0,29.402,0.935,34.254,215.299,121.23,0,2.128,41.918,11.161,1.408,0,118.786,408.414,8.468,0.0,1.613,196.897,92.361,0.0,607.238,8.491,0.0
CZ0325,665,1083,3,1,17,71,36,0,5,13,3,0,0,57,143,0,4,1,52,25,0,233,1,0,4.989,1.562,26.143,129.296,65.952,0,9.59,23.666,6.1899999999999995,0.0,0,92.41,255.033,0.0,5.648,1.389,83.266,43.696,0.0,449.693,1.471,0.0
CZ0326,868,1226,7,0,2,93,35,0,1,20,1,3,0,43,209,5,1,4,104,50,0,286,4,0,8.636,0.0,2.198,156.277,62.912,0,1.124,32.46,2.381,5.771999999999999,0,64.09,315.764,6.535,0.87,3.733,172.716,75.68299999999999,0.0,483.15,5.707,0.0
