NUTS,counted
CZ010,32.041
CZ0201,66.165
CZ0202,46.251
CZ0203,56.836
CZ0204,81.675
CZ0205,82.994
CZ0206,67.175
CZ0207,63.79
CZ0208,72.113
CZ0209,38.841
CZ020A,28.402
CZ020B,73.314
CZ020C,83.018
CZ0311,69.798
CZ0312,68.885
CZ0313,75.656
CZ0314,87.425
CZ0315,77.381
CZ0316,95.78
CZ0317,87.924
CZ0321,95.805
CZ0322,85.326
CZ0323,87.952
CZ0324,84.048
CZ0325,85.644
CZ0326,89.955
CZ0327,81.894
CZ0411,60.252
CZ0412,66.249
CZ0413,81.463
CZ0421,59.375
CZ0422,72.64
CZ0423,85.606
CZ0424,84.46
CZ0425,92.107
CZ0426,91.068
CZ0427,92.066
CZ0511,90.019
CZ0512,84.755
CZ0513,62.168
CZ0514,80.216
CZ0521,77.675
CZ0522,85.531
CZ0523,93.251
CZ0524,86.495
CZ0525,75.406
CZ0531,74.984
CZ0532,61.784
CZ0533,85.5
CZ0534,75.745
CZ0631,82.843
CZ0632,82.209
CZ0633,84.77
CZ0634,77.037
CZ0635,81.158
CZ0641,79.696
CZ0642,63.743
CZ0643,46.609
CZ0644,60.418
CZ0645,63.856
CZ0646,81.356
CZ0647,80.236
CZ0711,68.153
CZ0712,64.077
CZ0713,85.02
CZ0714,90.245
CZ0715,65.507
CZ0721,79.121
CZ0722,74.454
CZ0723,76.027
CZ0724,68.776
CZ0801,91.968
CZ0802,77.425
CZ0803,78.961
CZ0804,76.954
CZ0805,72.906
CZ0806,74.967
CZZZZZ,9.618
